,term,arg_type,ret_type,type_string,ctype,count,is_init,frame,depth,comp_lp,adaptor_lp,log_prob
0,note_1,,note,->note,base_term,1,1,,0,-1.791759469228055,0,-1.791759469228055
1,note_2,,note,->note,base_term,1,1,,0,-1.791759469228055,0,-1.791759469228055
2,note_3,,note,->note,base_term,1,1,,0,-1.791759469228055,0,-1.791759469228055
3,note_4,,note,->note,base_term,1,1,,0,-1.791759469228055,0,-1.791759469228055
4,note_5,,note,->note,base_term,1,1,,0,-1.791759469228055,0,-1.791759469228055
5,note_6,,note,->note,base_term,1,1,,0,-1.791759469228055,0,-1.791759469228055
6,count_1,,count,->count,base_term,1,1,,0,-1.791759469228055,0,-1.791759469228055
7,count_2,,count,->count,base_term,1,1,,0,-1.791759469228055,0,-1.791759469228055
8,count_3,,count,->count,base_term,1,1,,0,-1.791759469228055,0,-1.791759469228055
9,count_4,,count,->count,base_term,1,1,,0,-1.791759469228055,0,-1.791759469228055
10,count_5,,count,->count,base_term,1,1,,0,-1.791759469228055,0,-1.791759469228055
11,count_6,,count,->count,base_term,1,1,,0,-1.791759469228055,0,-1.791759469228055
12,memorize,note,note,note->note,primitive,1,1,,0,-1.9459101490553135,0,-1.9459101490553135
13,up,note_count,note,note_count->note,primitive,1,1,,0,-1.9459101490553135,0,-1.9459101490553135
14,down,note_count,note,note_count->note,primitive,1,1,,0,-1.9459101490553135,0,-1.9459101490553135
15,reverse,note,note,note->note,primitive,1,1,,0,-1.9459101490553135,0,-1.9459101490553135
16,repeat,note_count,note,note_count->note,primitive,1,1,,0,-1.9459101490553135,0,-1.9459101490553135
17,concatenate,note_note,note,note_note->note,primitive,1,1,,0,-1.9459101490553135,0,-1.9459101490553135
18,ranges,note_count,note,note_count->note,primitive,1,1,,0,-1.9459101490553135,0,-1.9459101490553135
